,Year,Player,Team,Award
0,2020,Leon Draisaitl,Edmonton Oilers,Art Ross
1,2019,Nikita Kucherov,Tampa Bay Lightning,Art Ross
2,2018,Connor McDavid,Edmonton Oilers,Art Ross
3,2017,Connor McDavid,Edmonton Oilers,Art Ross
4,2016,Patrick Kane,Chicago Blackhawks,Art Ross
5,2015,Jamie Benn,Dallas Stars,Art Ross
6,2014,Sidney Crosby,Pittsburgh Penguins,Art Ross
7,2013,Martin St. Louis,Tampa Bay Lightning,Art Ross
8,2012,Evgeni Malkin,Pittsburgh Penguins,Art Ross
9,2011,Daniel Sedin,Vancouver Canucks,Art Ross
10,2010,Henrik Sedin,Vancouver Canucks,Art Ross
11,2009,Evgeni Malkin,Pittsburgh Penguins,Art Ross
12,2008,Alex Ovechkin,Washington Capitals,Art Ross
13,2007,Sidney Crosby,Pittsburgh Penguins,Art Ross
14,2006,Joe Thornton,Boston Bruins/San Jose Sharks,Art Ross
15,2004,Martin St. Louis,Tampa Bay Lightning,Art Ross
16,2003,Peter Forsberg,Colorado Avalanche,Art Ross
17,2002,Jarome Iginla,Calgary Flames,Art Ross
18,2001,Jaromir Jagr,Pittsburgh Penguins,Art Ross
19,2000,Jaromir Jagr,Pittsburgh Penguins,Art Ross
20,1999,Jaromir Jagr,Pittsburgh Penguins,Art Ross
21,1998,Jaromir Jagr,Pittsburgh Penguins,Art Ross
22,1997,Mario Lemieux,Pittsburgh Penguins,Art Ross
23,1996,Mario Lemieux,Pittsburgh Penguins,Art Ross
24,1995,Jaromir Jagr,Pittsburgh Penguins,Art Ross
25,1994,Wayne Gretzky,Los Angeles Kings,Art Ross
26,1993,Mario Lemieux,Pittsburgh Penguins,Art Ross
27,1992,Mario Lemieux,Pittsburgh Penguins,Art Ross
28,1991,Wayne Gretzky,Los Angeles Kings,Art Ross
29,1990,Wayne Gretzky,Los Angeles Kings,Art Ross
30,1989,Mario Lemieux,Pittsburgh Penguins,Art Ross
31,1988,Mario Lemieux,Pittsburgh Penguins,Art Ross
32,1987,Wayne Gretzky,Edmonton Oilers,Art Ross
33,1986,Wayne Gretzky,Edmonton Oilers,Art Ross
34,1985,Wayne Gretzky,Edmonton Oilers,Art Ross
35,1984,Wayne Gretzky,Edmonton Oilers,Art Ross
36,1983,Wayne Gretzky,Edmonton Oilers,Art Ross
37,1982,Wayne Gretzky,Edmonton Oilers,Art Ross
38,1981,Wayne Gretzky,Edmonton Oilers,Art Ross
39,1980,Marcel Dionne,Los Angeles Kings,Art Ross
40,1979,Bryan Trottier,New York Islanders,Art Ross
41,1978,Guy Lafleur,Montreal Canadiens,Art Ross
42,1977,Guy Lafleur,Montreal Canadiens,Art Ross
43,1976,Guy Lafleur,Montreal Canadiens,Art Ross
44,1975,Bobby Orr,Boston Bruins,Art Ross
45,1974,Phil Esposito,Boston Bruins,Art Ross
46,1973,Phil Esposito,Boston Bruins,Art Ross
47,1972,Phil Esposito,Boston Bruins,Art Ross
48,1971,Phil Esposito,Boston Bruins,Art Ross
49,1970,Bobby Orr,Boston Bruins,Art Ross
50,1969,Phil Esposito,Boston Bruins,Art Ross
51,1968,Stan Mikita,Chicago Black Hawks,Art Ross
52,1967,Stan Mikita,Chicago Black Hawks,Art Ross
0,2020,Leon Draisaitl,Edmonton Oilers,Hart Memorial
1,2019,Nikita Kucherov,Tampa Bay Lightning,Hart Memorial
2,2018,Taylor Hall,New Jersey Devils,Hart Memorial
3,2017,Connor McDavid,Edmonton Oilers,Hart Memorial
4,2016,Patrick Kane,Chicago Blackhawks,Hart Memorial
5,2015,Carey Price,Montreal Canadiens,Hart Memorial
6,2014,Sidney Crosby,Pittsburgh Penguins,Hart Memorial
7,2013,Alex Ovechkin,Washington Capitals,Hart Memorial
8,2012,Evgeni Malkin,Pittsburgh Penguins,Hart Memorial
9,2011,Corey Perry,Anaheim Ducks,Hart Memorial
10,2010,Henrik Sedin,Vancouver Canucks,Hart Memorial
11,2009,Alex Ovechkin,Washington Capitals,Hart Memorial
12,2008,Alex Ovechkin,Washington Capitals,Hart Memorial
13,2007,Sidney Crosby,Pittsburgh Penguins,Hart Memorial
14,2006,Joe Thornton,Boston Bruins/San Jose Sharks,Hart Memorial
15,2004,Martin St. Louis,Tampa Bay Lightning,Hart Memorial
16,2003,Peter Forsberg,Colorado Avalanche,Hart Memorial
17,2002,Jose Theodore,Montreal Canadiens,Hart Memorial
18,2001,Joe Sakic,Colorado Avalanche,Hart Memorial
19,2000,Chris Pronger,St. Louis Blues,Hart Memorial
20,1999,Jaromir Jagr,Pittsburgh Penguins,Hart Memorial
21,1998,Dominik Hasek,Buffalo Sabres,Hart Memorial
22,1997,Dominik Hasek,Buffalo Sabres,Hart Memorial
23,1996,Mario Lemieux,Pittsburgh Penguins,Hart Memorial
24,1995,Eric Lindros,Philadelphia Flyers,Hart Memorial
25,1994,Sergei Fedorov,Detroit Red Wings,Hart Memorial
26,1993,Mario Lemieux,Pittsburgh Penguins,Hart Memorial
27,1992,Mark Messier,New York Rangers,Hart Memorial
28,1991,Brett Hull,St. Louis Blues,Hart Memorial
29,1990,Mark Messier,Edmonton Oilers,Hart Memorial
30,1989,Wayne Gretzky,Los Angeles Kings,Hart Memorial
31,1988,Mario Lemieux,Pittsburgh Penguins,Hart Memorial
32,1987,Wayne Gretzky,Edmonton Oilers,Hart Memorial
33,1986,Wayne Gretzky,Edmonton Oilers,Hart Memorial
34,1985,Wayne Gretzky,Edmonton Oilers,Hart Memorial
35,1984,Wayne Gretzky,Edmonton Oilers,Hart Memorial
36,1983,Wayne Gretzky,Edmonton Oilers,Hart Memorial
37,1982,Wayne Gretzky,Edmonton Oilers,Hart Memorial
38,1981,Wayne Gretzky,Edmonton Oilers,Hart Memorial
39,1980,Wayne Gretzky,Edmonton Oilers,Hart Memorial
40,1979,Bryan Trottier,New York Islanders,Hart Memorial
41,1978,Guy Lafleur,Montreal Canadiens,Hart Memorial
42,1977,Guy Lafleur,Montreal Canadiens,Hart Memorial
43,1976,Bobby Clarke,Philadelphia Flyers,Hart Memorial
44,1975,Bobby Clarke,Philadelphia Flyers,Hart Memorial
45,1974,Phil Esposito,Boston Bruins,Hart Memorial
46,1973,Bobby Clarke,Philadelphia Flyers,Hart Memorial
47,1972,Bobby Orr,Boston Bruins,Hart Memorial
48,1971,Bobby Orr,Boston Bruins,Hart Memorial
49,1970,Bobby Orr,Boston Bruins,Hart Memorial
50,1969,Phil Esposito,Boston Bruins,Hart Memorial
51,1968,Stan Mikita,Chicago Blackhawks,Hart Memorial
52,1967,Stan Mikita,Chicago Blackhawks,Hart Memorial
0,2020,Cale Makar,Colorado Avalanche,Calder Memorial
1,2019,Elias Pettersson,Vancouver Canucks,Calder Memorial
2,2018,Mathew Barzal,New York Islanders,Calder Memorial
3,2017,Auston Matthews,Toronto Maple Leafs,Calder Memorial
4,2016,Artemi Panarin,Chicago Blackhawks,Calder Memorial
5,2015,Aaron Ekblad,Florida Panthers,Calder Memorial
6,2014,Nathan MacKinnon,Colorado Avalanche,Calder Memorial
7,2013,Jonathan Huberdeau,Florida Panthers,Calder Memorial
8,2012,Gabriel Landeskog,Colorado Avalanche,Calder Memorial
9,2011,Jeff Skinner,Carolina Hurricanes,Calder Memorial
10,2010,Tyler Myers,Buffalo Sabres,Calder Memorial
11,2009,Steve Mason,Columbus Blue Jackets,Calder Memorial
12,2008,Patrick Kane,Chicago Blackhawks,Calder Memorial
13,2007,Evgeni Malkin,Pittsburgh Penguins,Calder Memorial
14,2006,Alex Ovechkin,Washington Capitals,Calder Memorial
15,2004,Andrew Raycroft,Boston Bruins,Calder Memorial
16,2003,Barret Jackman,St. Louis Blues,Calder Memorial
17,2002,Dany Heatley,Atlanta Thrashers,Calder Memorial
18,2001,Evgeni Nabokov,San Jose Sharks,Calder Memorial
19,2000,Scott Gomez,New Jersey Devils,Calder Memorial
20,1999,Chris Drury,Colorado Avalanche,Calder Memorial
21,1998,Sergei Samsonov,Boston Bruins,Calder Memorial
22,1997,Bryan Berard,New York Islanders,Calder Memorial
23,1996,Daniel Alfredsson,Ottawa Senators,Calder Memorial
24,1995,Peter Forsberg,Quebec Nordiques,Calder Memorial
25,1994,Martin Brodeur,New Jersey Devils,Calder Memorial
26,1993,Teemu Selanne,Winnipeg Jets,Calder Memorial
27,1992,Pavel Bure,Vancouver Canucks,Calder Memorial
28,1991,Ed Belfour,Chicago Blackhawks,Calder Memorial
29,1990,Sergei Makarov,Calgary Flames,Calder Memorial
30,1989,Brian Leetch,New York Rangers,Calder Memorial
31,1988,Joe Nieuwendyk,Calgary Flames,Calder Memorial
32,1987,Luc Robitaille,Los Angeles Kings,Calder Memorial
33,1986,Gary Suter,Calgary Flames,Calder Memorial
34,1985,Mario Lemieux,Pittsburgh Penguins,Calder Memorial
35,1984,Tom Barrasso,Buffalo Sabres,Calder Memorial
36,1983,Steve Larmer,Chicago Black Hawks,Calder Memorial
37,1982,Dale Hawerchuk,Winnipeg Jets,Calder Memorial
38,1981,Peter Stastny,Quebec Nordiques,Calder Memorial
39,1980,Ray Bourque,Boston Bruins,Calder Memorial
40,1979,Bobby Smith,Minnesota North Stars,Calder Memorial
41,1978,Mike Bossy,New York Islanders,Calder Memorial
42,1977,Willi Plett,Atlanta Flames,Calder Memorial
43,1976,Bryan Trottier,New York Islanders,Calder Memorial
44,1975,Eric Vail,Atlanta Flames,Calder Memorial
45,1974,Denis Potvin,New York Islanders,Calder Memorial
46,1973,Steve Vickers,New York Rangers,Calder Memorial
47,1972,Ken Dryden,Montreal Canadiens,Calder Memorial
48,1971,Gilbert Perreault,Buffalo Sabres,Calder Memorial
49,1970,Tony Esposito,Chicago Black Hawks,Calder Memorial
50,1969,Danny Grant,Minnesota North Stars,Calder Memorial
51,1968,Derek Sanderson,Boston Bruins,Calder Memorial
52,1967,Bobby Orr,Boston Bruins,Calder Memorial
0,2020,Victor Hedman,Tampa Bay Lightning,Conn Smythe
1,2019,Ryan O'Reilly,St. Louis Blues,Conn Smythe
2,2018,Alex Ovechkin,Washington Capitals,Conn Smythe
3,2017,Sidney Crosby,Pittsburgh Penguins,Conn Smythe
4,2016,Sidney Crosby,Pittsburgh Penguins,Conn Smythe
5,2015,Duncan Keith,Chicago Blackhawks,Conn Smythe
6,2014,Justin Williams,Los Angeles Kings,Conn Smythe
7,2013,Patrick Kane,Chicago Blackhawks,Conn Smythe
8,2012,Jonathan Quick,Los Angeles Kings,Conn Smythe
9,2011,Tim Thomas,Boston Bruins,Conn Smythe
10,2010,Jonathan Toews,Chicago Blackhawks,Conn Smythe
11,2009,Evgeni Malkin,Pittsburgh Penguins,Conn Smythe
12,2008,Henrik Zetterberg,Detroit Red Wings,Conn Smythe
13,2007,Scott Niedermayer,Anaheim Ducks,Conn Smythe
14,2006,Cam Ward,Carolina Hurricanes,Conn Smythe
15,2004,Brad Richards,Tampa Bay Lightning,Conn Smythe
16,2003,Jean-Sebastien Giguere*,Mighty Ducks of Anaheim,Conn Smythe
17,2002,Nicklas Lidstrom,Detroit Red Wings,Conn Smythe
18,2001,Patrick Roy,Colorado Avalanche,Conn Smythe
19,2000,Scott Stevens,New Jersey Devils,Conn Smythe
20,1999,Joe Nieuwendyk,Dallas Stars,Conn Smythe
21,1998,Steve Yzerman,Detroit Red Wings,Conn Smythe
22,1997,Mike Vernon,Detroit Red Wings,Conn Smythe
23,1996,Joe Sakic,Colorado Avalanche,Conn Smythe
24,1995,Claude Lemieux,New Jersey Devils,Conn Smythe
25,1994,Brian Leetch,New York Rangers,Conn Smythe
26,1993,Patrick Roy,Montreal Canadiens,Conn Smythe
27,1992,Mario Lemieux,Pittsburgh Penguins,Conn Smythe
28,1991,Mario Lemieux,Pittsburgh Penguins,Conn Smythe
29,1990,Bill Ranford,Edmonton Oilers,Conn Smythe
30,1989,Al MacInnis,Calgary Flames,Conn Smythe
31,1988,Wayne Gretzky,Edmonton Oilers,Conn Smythe
32,1987,Ron Hextall*,Philadelphia Flyers,Conn Smythe
33,1986,Patrick Roy,Montreal Canadiens,Conn Smythe
34,1985,Wayne Gretzky,Edmonton Oilers,Conn Smythe
35,1984,Mark Messier,Edmonton Oilers,Conn Smythe
36,1983,Billy Smith,New York Islanders,Conn Smythe
37,1982,Mike Bossy,New York Islanders,Conn Smythe
38,1981,Butch Goring,New York Islanders,Conn Smythe
39,1980,Bryan Trottier,New York Islanders,Conn Smythe
40,1979,Bob Gainey,Montreal Canadiens,Conn Smythe
41,1978,Larry Robinson,Montreal Canadiens,Conn Smythe
42,1977,Guy Lafleur,Montreal Canadiens,Conn Smythe
43,1976,Reggie Leach*,Philadelphia Flyers,Conn Smythe
44,1975,Bernie Parent,Philadelphia Flyers,Conn Smythe
45,1974,Bernie Parent,Philadelphia Flyers,Conn Smythe
46,1973,Yvan Cournoyer,Montreal Canadiens,Conn Smythe
47,1972,Bobby Orr,Boston Bruins,Conn Smythe
48,1971,Ken Dryden,Montreal Canadiens,Conn Smythe
49,1970,Bobby Orr,Boston Bruins,Conn Smythe
50,1969,Serge Savard,Montreal Canadiens,Conn Smythe
51,1968,Glenn Hall*,St. Louis Blues,Conn Smythe
52,1967,Dave Keon,Toronto Maple Leafs,Conn Smythe
0,2020,Roman Josi,Calgary Flames,James Norris Memorial
1,2019,Mark Giordano,Calgary Flames,James Norris Memorial
2,2018,Victor Hedman,Tampa Bay Lightning,James Norris Memorial
3,2017,Brent Burns,San Jose Sharks,James Norris Memorial
4,2016,Drew Doughty,Los Angeles Kings,James Norris Memorial
5,2015,Erik Karlsson,Ottawa Senators,James Norris Memorial
6,2014,Duncan Keith,Chicago Blackhawks,James Norris Memorial
7,2013,P.K. Subban,Montreal Canadiens,James Norris Memorial
8,2012,Erik Karlsson,Ottawa Senators,James Norris Memorial
9,2011,Nicklas Lidstrom,Detroit Red Wings,James Norris Memorial
10,2010,Duncan Keith,Chicago Blackhawks,James Norris Memorial
11,2009,Zdeno Chara,Boston Bruins,James Norris Memorial
12,2008,Nicklas Lidstrom,Detroit Red Wings,James Norris Memorial
13,2007,Nicklas Lidstrom,Detroit Red Wings,James Norris Memorial
14,2006,Nicklas Lidstrom,Detroit Red Wings,James Norris Memorial
15,2004,Scott Niedermayer,New Jersey Devils,James Norris Memorial
16,2003,Nicklas Lidstrom,Detroit Red Wings,James Norris Memorial
17,2002,Nicklas Lidstrom,Detroit Red Wings,James Norris Memorial
18,2001,Nicklas Lidstrom,Detroit Red Wings,James Norris Memorial
19,2000,Chris Pronger,St. Louis Blues,James Norris Memorial
20,1999,Al MacInnis,St. Louis Blues,James Norris Memorial
21,1998,Rob Blake,Los Angeles Kings,James Norris Memorial
22,1997,Brian Leetch,New York Rangers,James Norris Memorial
23,1996,Chris Chelios,Chicago Blackhawks,James Norris Memorial
24,1995,Paul Coffey,Detroit Red Wings,James Norris Memorial
25,1994,Ray Bourque,Boston Bruins,James Norris Memorial
26,1993,Chris Chelios,Chicago Blackhawks,James Norris Memorial
27,1992,Brian Leetch,New York Rangers,James Norris Memorial
28,1991,Ray Bourque,Boston Bruins,James Norris Memorial
29,1990,Ray Bourque,Boston Bruins,James Norris Memorial
30,1989,Chris Chelios,Montreal Canadiens,James Norris Memorial
31,1988,Ray Bourque,Boston Bruins,James Norris Memorial
32,1987,Ray Bourque,Boston Bruins,James Norris Memorial
33,1986,Paul Coffey,Edmonton Oilers,James Norris Memorial
34,1985,Paul Coffey,Edmonton Oilers,James Norris Memorial
35,1984,Rod Langway,Washington Capitals,James Norris Memorial
36,1983,Rod Langway,Washington Capitals,James Norris Memorial
37,1982,Doug Wilson,Chicago Black Hawks,James Norris Memorial
38,1981,Randy Carlyle,Pittsburgh Penguins,James Norris Memorial
39,1980,Larry Robinson,Montreal Canadiens,James Norris Memorial
40,1979,Denis Potvin,New York Islanders,James Norris Memorial
41,1978,Denis Potvin,New York Islanders,James Norris Memorial
42,1977,Larry Robinson,Montreal Canadiens,James Norris Memorial
43,1976,Denis Potvin,New York Islanders,James Norris Memorial
44,1975,Bobby Orr,Boston Bruins,James Norris Memorial
45,1974,Bobby Orr,Boston Bruins,James Norris Memorial
46,1973,Bobby Orr,Boston Bruins,James Norris Memorial
47,1972,Bobby Orr,Boston Bruins,James Norris Memorial
48,1971,Bobby Orr,Boston Bruins,James Norris Memorial
49,1970,Bobby Orr,Boston Bruins,James Norris Memorial
50,1969,Bobby Orr,Boston Bruins,James Norris Memorial
51,1968,Bobby Orr,Boston Bruins,James Norris Memorial
52,1967,Harry Howell,New York Rangers,James Norris Memorial
